AR_Ref,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
100721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.0,1584.0,920.0,1401.0,1934.92,1750.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
180000713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,1114.0,1307.0,2542.0,1479.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
180000714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.0,940.0,1086.0,1996.0,1916.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
180000715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,974.0,1221.0,2366.0,1993.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
180000716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,602.0,1051.0,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180000717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,622.0,998.0,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180000720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,248.0,313.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,1184.6599999999999,680.0,810.0,2813.0,170.0,1019.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAGHO200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.66,38.17,6.0,13.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAHO100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.12,99.0,139.62,92.02,25.48,117.92,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
